Year,Month,AvgTempDegF
2004,12,30.70
2005,1,30.00
2005,2,35.40
2005,3,37.50
2005,4,54.30
2005,5,59.70
2005,6,73.40
2005,7,74.80
2005,8,74.60
2005,9,69.20
2005,10,55.10
2005,11,44.30
2005,12,26.20
2006,1,39.10
2006,2,31.50
2006,3,40.70
2006,4,55.80
2006,5,60.50
2006,6,70.20
2006,7,75.50
2006,8,73.40
2006,9,62.70
2006,10,51.30
2006,11,44.30
2006,12,36.70
2007,1,31.50
2007,2,19.20
2007,3,47.50
2007,4,49.50
2007,5,67.00
2007,6,72.00
2007,7,71.40
2007,8,77.30
2007,9,68.90
2007,10,59.70
2007,11,41.80
2007,12,32.00
2008,1,27.10
2008,2,27.50
2008,3,38.80
2008,4,51.60
2008,5,57.70
2008,6,72.40
2008,7,73.30
2008,8,70.80
2008,9,67.00
2008,10,54.00
2008,11,40.40
2008,12,28.60
2009,1,21.10
2009,2,32.00
2009,3,44.80
2009,4,51.50
2009,5,62.10
2009,6,72.10
2009,7,69.00
2009,8,70.50
2009,9,65.40
2009,10,50.50
2009,11,46.30
2009,12,29.60
2010,1,22.50
2010,2,24.70
2010,3,43.40
2010,4,57.80
2010,5,64.20
2010,6,74.70
2010,7,76.30
2010,8,75.80
2010,9,67.30
2010,10,55.80
2010,11,42.60
2010,12,23.00
2011,1,22.80
2011,2,31.10
2011,3,42.00
2011,4,53.40
2011,5,62.50
2011,6,72.40
2011,7,78.80
2011,8,73.20
2011,9,64.00
2011,10,53.90
2011,11,46.80
2011,12,36.10
2012,1,32.00
2012,2,35.30
2012,3,55.60
2012,4,53.50
2012,5,68.10
2012,6,71.50
2012,7,80.90
2012,8,72.40
2012,9,63.90
2012,10,51.80
2012,11,40.00
2012,12,37.60
2013,1,29.20
2013,2,30.40
2013,3,34.60
2013,4,50.90
2013,5,64.50
2013,6,70.90
2013,7,72.00
2013,8,71.60
2013,9,67.50
2013,10,54.20
2013,11,38.80
2013,12,28.40
2014,1,19.00
2014,2,20.20
2014,3,34.40
2014,4,52.80
2014,5,63.20
2014,6,72.80
2014,7,68.70
2014,8,72.30
2014,9,63.60
2014,10,53.60
2014,11,34.80
2014,12,33.80
2015,1,25.10
2015,2,19.00
2015,3,36.80
2015,4,53.00
2015,5,65.20
2015,6,71.20
2015,7,73.00
2015,8,70.80
2015,9,68.80
2015,10,55.80
2015,11,46.40
2015,12,41.80
2016,1,27.20
2016,2,33.40
2016,3,47.60
2016,4,52.30
2016,5,60.90
2016,6,73.50
2016,7,74.40
2016,8,75.60
2016,9,70.10
2016,10,59.60
2016,11,47.00
2016,12,29.30
2017,1,33.00
2017,2,41.20
2017,3,43.00
2017,4,56.90
